           0, 2*sqrt(3)/3, 2*sqrt(3)/3, 2*sqrt(3)/3, 1.0359
 2*sqrt(3)/3,           0,           2,           2, 1.1169
 2*sqrt(3)/3,           2,           0,           2, 1.1170
 2*sqrt(3)/3,           2,           2,           0, 2.1735
      1.0359,      1.1169,      1.1170,      2.1735,      0
