           0,   sqrt(165)/11,   sqrt(165)/11,   sqrt(165)/11,   sqrt(165)/11
sqrt(165)/11,              0,              2,              2,              1
sqrt(165)/11,              2,              0,              2,              2
sqrt(165)/11,              2,              2,              0,              2
sqrt(165)/11,              1,              2,              2,              0
