         0, sqrt(57)/6, sqrt(57)/6, sqrt(57)/6,          1
sqrt(57)/6,          0,          2,          2, sqrt(57)/6
sqrt(57)/6,          2,          0,          2, sqrt(57)/6
sqrt(57)/6,          2,          2,          0, sqrt(57)/6
         1, sqrt(57)/6, sqrt(57)/6, sqrt(57)/6,          0
