         0, sqrt(21)/3, sqrt(21)/3, sqrt(21)/3,          1  
sqrt(21)/3,          0,          2,          2, sqrt(21)/3  
sqrt(21)/3,          2,          0,          2, sqrt(21)/3  
sqrt(21)/3,          2,          2,          0, sqrt(21)/3  
         1, sqrt(21)/3, sqrt(21)/3, sqrt(21)/3,          0  
